"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"378","Alessandro Grandoni",27606,69,134,1,1
"379","Alessandro Iacobucci",182843,67,334,5,1
"380","Alessandro Iandoli",7683,66,49,57,1
"381","Alessandro Lambrughi",73047,66,57,2,1
"382","Alessandro Longhi",215725,69,48,48,1
"383","Alessandro Lucarelli",27679,74,49,189,1
"384","Alessandro Mangiarrati",11747,60,61,56,1
"385","Alessandro Matri",41411,77,21,117,1
"386","Alessandro Nesta",30723,73,56,64,1
"387","Alessandro Parisi",41729,68,59,40,1
"388","Alessandro Piu",620524,63,50,1,1
"389","Alessandro Potenza",39314,68,47,55,1
"390","Alessandro Riedle",167369,59,48,2,1
"391","Alessandro Rosina",31304,73,53,53,1
"392","Alessandro Schoepf",461357,72,53,5,1
"393","Alessandro Sgrigna",42652,65,48,6,1
"394","Alessio Cerci",41269,77,51,118,1
"395","Alessio Cragno",282706,68,333,14,1
"396","Alessio Manzoni",39197,62,54,1,1
"397","Alessio Romagnoli",362195,76,52,70,1
"398","Alessio Scarpi",41762,70,348,9,1
"399","Alessio Sestu",42482,71,50,29,1
"400","Alex Baptiste",24469,68,52,19,1
"401","Alex Bruce",35480,68,54,36,1
"402","Alex Bruno",363343,65,50,17,1
"403","Alex Bruno",80566,71,135,5,1
"404","Alex Calderoni",39204,64,310,8,1
"405","Alex Cooper",306062,57,54,12,1
"406","Alex Fernandez",213500,72,64,5,1
"407","Alex Ferrari",447488,67,50,13,1
"408","Alex Goncalves",265618,70,50,11,1
"409","Alex Harris",396888,62,53,26,1
"410","Alex Henshall",430433,59,47,1,1
"411","Alex Iwobi",604785,69,58,8,1
"412","Alex Kacaniklic",282274,71,58,31,1
"413","Alex Kakuba",470416,63,53,8,1
"414","Alex Keddie",33913,59,57,36,1
"415","Alex Lopez",205034,74,48,66,1
"416","Alex MacDonald",155122,62,51,6,1
"417","Alex Manninger",39566,72,343,59,2
"418","Alex Martinez",264293,72,67,12,1
"419","Alex McCarthy",119079,75,368,22,1
"420","Alex Menendez",282689,68,48,13,1
"421","Alex Neil",32924,59,43,69,1
"422","Alex Oxlade-Chamberlain",196386,78,49,47,1
"423","Alex Pearce",49709,72,55,18,1
"424","Alex Perez",213493,61,59,1,1
"425","Alex Pinardi",41136,67,51,9,1
"426","Alex Portillo",408994,54,52,1,1
"427","Alex Sandro",157865,82,40,98,2
"428","Alex Schalk",262753,64,50,48,2
"429","Alex Silva",34650,73,56,16,1
"430","Alex Soares",478988,71,47,53,1
"431","Alex Song",23678,78,58,174,2
"432","Alex Telles",428672,76,58,18,1
"433","Alex Valentini",41975,64,312,11,1
"434","Alex Von Schwedler",41766,63,50,1,1
"435","Alex",150396,76,54,15,1
"436","Alex",163838,71,58,22,1
"437","Alex",26564,79,46,159,3
"438","Alexander Bannink",186923,65,47,11,1
"439","Alexander Baumjohann",27306,73,45,37,1
"440","Alexander Buettner",118434,74,57,79,3
"441","Alexander Bugera",27535,67,60,31,1
"442","Alexander Corryn",317565,63,51,2,1
"443","Alexander Cristovao",422127,61,49,1,1
"444","Alexander Djiku",407765,60,48,21,1
"445","Alexander Dragovic",128106,78,49,77,1
"446","Alexander Esswein",147735,73,56,72,1
"447","Alexander Farnerud",31672,72,47,107,2
"448","Alexander Fransson",438780,69,49,14,1
"449","Alexander Frei",34102,77,57,97,2
"450","Alexander Gerndt",71764,72,55,78,2
"451","Alexander Gonzalez",190525,66,55,62,1
"452","Alexander Hack",459000,65,32,7,1
"453","Alexander Iashvili",38206,64,49,13,1
"454","Alexander Laas",27297,71,148,1,1
"455","Alexander Madlung",34420,72,48,94,1
"456","Alexander Mathisen",40295,62,56,4,1
"457","Alexander Meier",27478,78,48,151,1
"458","Alexander Merkel",192504,68,50,25,2
"459","Alexander Milosevic",169569,72,51,10,1
"460","Alexander Ring",181333,70,40,3,1
"461","Alexander Scholz",203755,74,48,52,1
"462","Alexander Schwolow",248437,69,340,1,1
"463","Alexander Soerloth",440330,65,58,6,1
"464","Alexander Stephan",71524,60,289,11,1
"465","Alexander Tettey",40100,75,119,103,2
"466","Alexandr Kerzhakov",3517,77,68,12,1
"467","Alexandre Alphonse",25824,67,61,51,2
"468","Alexandre Azevedo",750584,58,54,1,1
"469","Alexandre Barthe",155075,64,57,10,1
"470","Alexandre Bonnet",24122,68,41,6,1
"471","Alexandre Coeff",265727,68,52,32,3
"472","Alexandre Cuvillier",93996,68,65,46,1
"473","Alexandre D'Acol",39749,64,47,1,1
"474","Alexandre Di Gregorio",21657,59,116,8,1
"475","Alexandre Geijo",33840,70,50,15,2
"476","Alexandre Hauw",3140,66,53,42,1
"477","Alexandre Lacazette",169193,83,37,129,1
"478","Alexandre Letellier",210387,69,338,17,1
"479","Alexandre Licata",26213,72,44,6,1
"480","Alexandre Mendy",560900,66,67,2,1
"481","Alexandre Pasche",114021,61,43,49,1
"482","Alexandre Pato",46554,80,59,63,2
"483","Alexandre Quennoz",34055,63,128,6,1
